algorithm,success,total_cost,solution_depth,execution_time_sec,expanded_nodes,chosen_nodes,iterations,max_fringe_size,path_length,actions,final_state,instance_id,grid,start,goal,max_battery,recharge_stations,obstacles,no_fly_zones
depth_first,True,7.6666666666666785,60,0.24543449998600408,776,777,777,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X']","DroneState(x=3, y=5, z=1, battery=0, time_step=60)",14,4x6x2,"(0, 0, 0)","(3, 5, 1)",9,2,4,1
breadth_first,True,1.15,9,0.3110578999912832,729,730,730,236,9,"['UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Z']","DroneState(x=3, y=5, z=1, battery=0, time_step=9)",14,4x6x2,"(0, 0, 0)","(3, 5, 1)",9,2,4,1
uniform_cost,True,1.15,9,0.6147894999885466,706,707,707,330,9,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Z', 'UP_X', 'UP_Y', 'UP_X']","DroneState(x=3, y=5, z=1, battery=0, time_step=9)",14,4x6x2,"(0, 0, 0)","(3, 5, 1)",9,2,4,1
greedy,True,4.338888888888889,32,0.04258149999077432,190,191,191,146,32,"['UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'DOWN_X', 'RECHARGE', 'UP_X', 'UP_Y', 'UP_Z']","DroneState(x=3, y=5, z=1, battery=5, time_step=34)",14,4x6x2,"(0, 0, 0)","(3, 5, 1)",9,2,4,1
astar,True,1.15,9,0.013973599998280406,39,40,40,88,9,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z', 'UP_X']","DroneState(x=3, y=5, z=1, battery=0, time_step=9)",14,4x6x2,"(0, 0, 0)","(3, 5, 1)",9,2,4,1
depth_first,True,8.5,60,0.04170410000369884,307,308,308,68,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=3, y=3, z=1, battery=1, time_step=60)",15,4x4x2,"(0, 0, 0)","(3, 3, 1)",8,2,2,1
breadth_first,True,0.9916666666666665,7,0.07658739999169484,250,251,251,177,7,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=1, time_step=7)",15,4x4x2,"(0, 0, 0)","(3, 3, 1)",8,2,2,1
uniform_cost,True,0.9916666666666665,7,0.1469024999823887,249,250,250,193,7,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=1, time_step=7)",15,4x4x2,"(0, 0, 0)","(3, 3, 1)",8,2,2,1
greedy,True,0.9916666666666665,7,0.0013353000103961676,7,8,8,27,7,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=1, time_step=7)",15,4x4x2,"(0, 0, 0)","(3, 3, 1)",8,2,2,1
astar,True,0.9916666666666665,7,0.001958799985004589,10,11,11,35,7,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=1, time_step=7)",15,4x4x2,"(0, 0, 0)","(3, 3, 1)",8,2,2,1
depth_first,True,6.199999999999996,60,0.577556000003824,2082,2083,2083,128,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Y', 'UP_Z', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X']","DroneState(x=4, y=4, z=2, battery=0, time_step=60)",16,5x5x3,"(0, 0, 0)","(4, 4, 2)",12,2,7,1
breadth_first,True,1.0999999999999999,10,5.187019599979976,3013,3014,3014,1078,10,"['UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=4, y=4, z=2, battery=1, time_step=10)",16,5x5x3,"(0, 0, 0)","(4, 4, 2)",12,2,7,1
uniform_cost,True,0.9999999999999999,10,3.5636218000145163,1488,1489,1489,873,10,"['UP_X', 'UP_Z', 'UP_Z', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X']","DroneState(x=4, y=4, z=2, battery=2, time_step=10)",16,5x5x3,"(0, 0, 0)","(4, 4, 2)",12,2,7,1
